,name,var_dis_cap,cycle_life
0,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH1.csv",-1.0502021662084906,3.03261876085072
1,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH10.csv",-0.9465655441435691,3.0038911662369103
2,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH11.csv",-0.9409912719749627,3.0265332645232967
3,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH12.csv",-1.0552498124452356,3.1027766148834415
4,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH13.csv",-1.0105017271008965,3.0472748673841794
5,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH14.csv",-0.9833411368025987,3.0203612826477078
6,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH15.csv",-1.016902806428623,2.9180303367848803
7,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH16.csv",-1.1377059265473533,2.824125833916549
8,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH17.csv",-0.9892872925257132,3.2638726768652235
9,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH18.csv",-1.089765400325762,2.9180303367848803
10,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH19.csv",-0.9699723338703148,3.016615547557177
11,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH2.csv",-1.0371762500505197,2.910090545594068
12,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH20.csv",-1.0199726920638943,2.9122220565324155
13,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH21.csv",-1.144616964113879,2.9694159123539814
14,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH22.csv",-1.0026494119941396,2.9116901587538613
15,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH23.csv",-0.9943690140995923,2.9334872878487053
16,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH24.csv",-1.0325404761536978,2.9425041061680806
17,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH25.csv",-0.999148577036079,3.2143138974244
18,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH27.csv",-0.8556586109481561,3.1189257528257768
19,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH28.csv",-0.9936939143845323,3.059184617631371
20,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH29.csv",-1.0187056540534491,3.062581984228163
21,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH3.csv",-1.011127367337268,2.9708116108725178
22,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH30.csv",-1.1702283076580533,2.887617300335736
23,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH32.csv",-0.9138941647780682,3.0008677215312267
24,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH33.csv",-1.056369876041277,3.3404441148401185
25,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH34.csv",-1.1560966797394046,2.916453948549925
26,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH35.csv",-1.050794774491608,2.9951962915971793
27,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH36.csv",-1.0817685830277504,3.011993114659257
28,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH37.csv",-1.155544133482643,2.929418925714293
29,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH38.csv",-0.9181987829048899,2.7331972651065692
30,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH39.csv",-0.9450138416207865,2.9334872878487053
31,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH4.csv",-1.0864071702300906,2.900913067737669
32,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH40.csv",-1.0440393814681121,2.8639173769578603
33,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH41.csv",-0.8725624034847655,3.3498600821923312
34,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH42.csv",-1.201928665034635,3.1085650237328344
35,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH43.csv",-1.0571117141231163,3.0637085593914173
36,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH44.csv",-1.0823040488509226,3.038620161949703
37,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH45.csv",-1.080444731879188,2.965201701025912
38,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH46.csv",-0.7569459103345512,3.143014800254095
39,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH47.csv",-1.0683816012832912,3.28668096935493
40,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH48.csv",-0.9757541220482343,3.0629578340845103
41,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH5.csv",-1.0600885071811843,2.895422546039408
42,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH7.csv",-0.9964439540231924,3.0195316845312554
43,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH8.csv",-1.089577675645488,2.9731278535996988
44,"C:\Users\Lithion Power\Desktop\MIT, 2017\Data\batch 3\2018-04-12_batch8_CH9.csv",-0.9741056552639064,3.2555137128195333
